Temperature (K),Pressure (bar),Density (mol/m3),Volume (m3/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase,Z
711.7,1560.0,39557.0,2.528e-05,31.155,35.098,69.823,49.078,80.969,1230.6,0.0053569,89.204,0.57381,supercritical,0.666491602656705
711.7,1570.0,39617.0,2.5242e-05,31.131,35.094,69.782,49.079,80.842,1234.1,0.0051508,89.39,0.57506,supercritical,0.6697557160770921
711.7,1580.0,39677.0,2.5204e-05,31.108,35.09,69.741,49.079,80.716,1237.6,0.0049477,89.576,0.57629,supercritical,0.6730069853108812
711.7,1590.0,39736.0,2.5166e-05,31.085,35.086,69.7,49.079,80.592,1241.1,0.0047474,89.76,0.57753,supercritical,0.6762454103580725
711.7,1600.0,39795.0,2.5129e-05,31.062,35.083,69.659,49.08,80.47,1244.6,0.0045501,89.944,0.57876,supercritical,0.6794980316115036
711.7,1610.0,39854.0,2.5092e-05,31.039,35.079,69.619,49.081,80.35,1248.0,0.0043554,90.126,0.57998,supercritical,0.6827381466832474
711.7,1620.0,39912.0,2.5055e-05,31.017,35.076,69.579,49.081,80.231,1251.5,0.0041635,90.308,0.5812,supercritical,0.6859657555733037
711.7,1630.0,39969.0,2.5019e-05,30.994,35.072,69.539,49.082,80.114,1254.9,0.0039743,90.489,0.58242,supercritical,0.689208405681876
711.7,1640.0,40027.0,2.4983e-05,30.972,35.069,69.499,49.083,79.998,1258.3,0.0037877,90.67,0.58363,supercritical,0.6924388876136716
711.7,1650.0,40084.0,2.4948e-05,30.95,35.066,69.46,49.084,79.884,1261.6,0.0036036,90.849,0.58483,supercritical,0.6956850867738036
711.7,1660.0,40140.0,2.4913e-05,30.928,35.063,69.421,49.085,79.771,1265.0,0.003422,91.028,0.58603,supercritical,0.6989194557620694
711.7,1670.0,40196.0,2.4878e-05,30.906,35.061,69.383,49.086,79.66,1268.4,0.0032428,91.206,0.58723,supercritical,0.7021419945784688
711.7,1680.0,40252.0,2.4843e-05,30.885,35.058,69.344,49.087,79.55,1271.7,0.0030661,91.383,0.58842,supercritical,0.7053527032230018
711.7,1690.0,40308.0,2.4809e-05,30.863,35.056,69.306,49.088,79.442,1275.0,0.0028917,91.56,0.58961,supercritical,0.708580143110603
711.7,1700.0,40363.0,2.4775e-05,30.842,35.054,69.268,49.089,79.335,1278.3,0.0027196,91.736,0.5908,supercritical,0.7117960908312484
711.7,1710.0,40417.0,2.4742e-05,30.821,35.052,69.23,49.091,79.229,1281.6,0.0025497,91.911,0.59198,supercritical,0.7150294458047828
711.7,1720.0,40472.0,2.4709e-05,30.8,35.05,69.193,49.092,79.124,1284.8,0.002382,92.085,0.59315,supercritical,0.7182516466162717
711.7,1730.0,40526.0,2.4676e-05,30.779,35.048,69.155,49.093,79.021,1288.1,0.0022165,92.259,0.59432,supercritical,0.7214626932657151
711.7,1740.0,40580.0,2.4643e-05,30.758,35.046,69.118,49.095,78.919,1291.3,0.0020532,92.432,0.59549,supercritical,0.7246625857531134
711.7,1750.0,40633.0,2.4611e-05,30.738,35.045,69.082,49.096,78.819,1294.5,0.0018919,92.604,0.59665,supercritical,0.7278808995081318
711.7,1760.0,40686.0,2.4579e-05,30.717,35.043,69.045,49.098,78.719,1297.7,0.0017326,92.776,0.59781,supercritical,0.7310883971060154
